Max Depth,Min Samples Leaf,Min Samples Split,Train ROC-AUC,CV ROC-AUC,CV ROC-AUC Std,Brier Score,Log Loss,Rank,AUC Gap
7,500,1000,0.6887642337358065,0.6782567146481682,0.0025148504498645335,0.0935257320075652,0.32543656729641934,1,0.010507519087638362
7,500,200,0.6887642337358065,0.6782567146481682,0.0025148504498645335,0.0935257320075652,0.32543656729641934,1,0.010507519087638362
7,1000,1000,0.6873572947036142,0.6782083673615577,0.002727355984216946,0.09354624861110868,0.32547594549112446,3,0.009148927342056523
7,1000,200,0.6873572947036142,0.6782083673615577,0.002727355984216946,0.09354624861110868,0.32547594549112446,3,0.009148927342056523
10,1000,1000,0.6965892081506937,0.6779695420617815,0.002908439525117757,0.09358074041593559,0.3259360192864323,5,0.01861966608891219
10,1000,200,0.6965892081506937,0.6779695420617815,0.002908439525117757,0.09358074041593559,0.3259360192864323,5,0.01861966608891219
7,100,1000,0.6892257057519476,0.6778130251555348,0.0023189836982888496,0.09356442225599175,0.32553080194687417,7,0.011412680596412872
7,100,200,0.6899777963521452,0.6770417837027097,0.0024797635038014913,0.09364046884358149,0.3258130239944179,8,0.012936012649435447
10,500,200,0.7036667307223091,0.676918867372308,0.0017962878203156378,0.09368143175912776,0.3282628352640977,9,0.026747863350001122
10,500,1000,0.7036667307223091,0.676918867372308,0.0017962878203156378,0.09368143175912776,0.3282628352640977,9,0.026747863350001122
10,100,1000,0.7063214500881165,0.6740921596933658,0.001145779700307542,0.09386620743154953,0.327626245661098,11,0.032229290394750754
5,500,200,0.6753989857027645,0.6714875968234001,0.0017836696591604904,0.09377856650997725,0.3266612042180742,12,0.003911388879364375
5,500,1000,0.6753989857027645,0.6714875968234001,0.0017836696591604904,0.09377856650997725,0.3266612042180742,12,0.003911388879364375
5,1000,200,0.6750987029484785,0.6712587048468841,0.0019854724096444224,0.09381671477634021,0.3267910882014403,14,0.0038399981015944107
5,1000,1000,0.6750987029484785,0.6712587048468841,0.0019854724096444224,0.09381671477634021,0.3267910882014403,14,0.0038399981015944107
5,100,1000,0.6753450154170648,0.6710619409301158,0.0020274549460957323,0.09381363280293152,0.32677030641121324,16,0.004283074486948979
5,100,200,0.6753700995225671,0.6710420979285633,0.0020234029231801314,0.09383758306219611,0.32682296514386733,17,0.004328001594003816
10,100,200,0.7162723638116025,0.6675459054576878,0.0013079010052009928,0.09444033113144493,0.33678991590384655,18,0.04872645835391476
3,500,1000,0.6555852143682495,0.6538602162945767,0.003508717887311208,0.09428093581866978,0.3293202770261987,19,0.0017249980736727677
3,500,200,0.6555852143682495,0.6538602162945767,0.003508717887311208,0.09428093581866978,0.3293202770261987,19,0.0017249980736727677
3,1000,1000,0.6555852143682495,0.6538602162945767,0.003508717887311208,0.09428093581866978,0.3293202770261987,19,0.0017249980736727677
3,1000,200,0.6555852143682495,0.6538602162945767,0.003508717887311208,0.09428093581866978,0.3293202770261987,19,0.0017249980736727677
3,100,200,0.6555852143682495,0.6538602162945767,0.003508717887311208,0.09428093581866978,0.3293202770261987,19,0.0017249980736727677
3,100,1000,0.6555852143682495,0.6538602162945767,0.003508717887311208,0.09428093581866978,0.3293202770261987,19,0.0017249980736727677
