Regularization,C,Train ROC-AUC,CV ROC-AUC,CV ROC-AUC Std,Brier Score,Log Loss,Rank,AUC Gap
L1,0.5,0.6900601853607359,0.6888426646055663,0.0013490292796717216,0.09311738994441085,0.3233724206814541,1,0.0012175207551695655
L1,0.25,0.6900156481157178,0.6888378560880479,0.0013566271880857842,0.09311571573392306,0.3233698450649235,2,0.0011777920276698772
L2,0.25,0.6900678313702377,0.6888321810061278,0.001340403575249507,0.09311809291388404,0.3233750234660621,3,0.001235650364109997
L1,1.0,0.6900688699813162,0.6888303068665854,0.0013457136758574853,0.09311888957054566,0.32337690696990823,4,0.0012385631147308063
L2,0.1,0.6900476248765105,0.6888284108771379,0.0013468851604678314,0.09311675374209358,0.32337320051527013,5,0.001219213999372637
L2,0.05,0.690005218543724,0.6888245958565782,0.0013428410153557737,0.09311558658832332,0.32337219247306115,6,0.0011806226871458048
L2,0.5,0.690069905124495,0.688821908403812,0.001346734056220479,0.09311894686326139,0.32337783332551717,7,0.0012479967206829867
L2,1.0,0.6900697408161314,0.6888178192792889,0.001342464306472949,0.09311953808611592,0.32337940228478124,8,0.001251921536842504
L1,0.1,0.68980296209477,0.6887431353956943,0.0013858479613306804,0.0931164150233729,0.32338737820742064,9,0.0010598266990756722
L1,0.05,0.6893585565686158,0.6884183710496475,0.0014145742297269695,0.09312846663285164,0.3234622034725332,10,0.0009401855189682395
