Max Depth,Min Samples Leaf,Max Features,Train ROC-AUC,CV ROC-AUC,CV ROC-AUC Std,Brier Score,Log Loss,Rank,AUC Gap
,100,0.5,0.7866351403930355,0.6982749035580909,0.0017628634665325168,0.09245021446654103,0.320495757799919,1,0.08836023683494465
10,100,0.5,0.7357962172047021,0.6962232837595764,0.001577833711349331,0.09256901539217903,0.3210382916195115,2,0.03957293344512569
,100,sqrt,0.756403636944334,0.6952957488651138,0.0016779947933652267,0.09273489576125972,0.3217625292796979,3,0.061107888079220185
,500,0.5,0.715022769098607,0.6944419661935283,0.0016686978833862864,0.09272461434783773,0.32159327385690417,4,0.020580802905078688
10,500,0.5,0.7121246632064093,0.6940380339596774,0.0016138789125329815,0.09274833364418386,0.3217059419000409,5,0.018086629246731878
10,100,sqrt,0.720580142053634,0.6921456996173982,0.001456518172985597,0.0929752584738417,0.3230953038027403,6,0.02843444243623572
,500,sqrt,0.705757437937792,0.6903109206966827,0.001318321826853943,0.09316427843006711,0.3237859199399792,7,0.015446517241109348
10,500,sqrt,0.7033023073989906,0.6897657397871146,0.001429554396729844,0.09320348942271195,0.3240485115289383,8,0.013536567611875938
5,500,0.5,0.6880922976433563,0.6838599915768508,0.0013109068705626154,0.09329289969053524,0.32440578521739544,9,0.004232306066505487
5,100,0.5,0.6884172485103055,0.6838338483566394,0.0013673738472917284,0.09327130043937863,0.3243679352053882,10,0.004583400153666095
5,100,sqrt,0.6887579568560951,0.6834632338139458,0.001380534215382808,0.0939020356498817,0.32784908280666814,11,0.005294723042149285
5,500,sqrt,0.6880204129807462,0.6832616259095974,0.0011890020931829273,0.09393181223291293,0.32796684963931855,12,0.004758787071148851
